# id|region|road_class|structure|name|ref|layer|lat1|lon1|lat2|lon2|oneway|maxspeed
# OSM © OpenStreetMap contributors, ODbL 1.0; snapshot 2026-09-20.
TPE-24774635-3|TPE|EXPRESSWAY|ELEVATED|水源快速道路||2|24.9973919|121.5355392|24.9977042|121.5355003|yes|60
TPE-24774635-4|TPE|EXPRESSWAY|ELEVATED|水源快速道路||2|24.9977042|121.5355003|24.9978890|121.5354788|yes|60
TPE-24774635-5|TPE|EXPRESSWAY|ELEVATED|水源快速道路||2|24.9978890|121.5354788|24.9981795|121.5354306|yes|60
TPE-24774635-6|TPE|EXPRESSWAY|ELEVATED|水源快速道路||2|24.9981795|121.5354306|24.9984080|121.5353997|yes|60
TPE-24774635-7|TPE|EXPRESSWAY|ELEVATED|水源快速道路||2|24.9984080|121.5353997|24.9991212|121.5353430|yes|60
TPE-24836058-0|TPE|EXPRESSWAY|RAMP|大直出口匝道||0|25.0757626|121.5269078|25.0758591|121.5269056|yes|
TPE-24836058-1|TPE|EXPRESSWAY|RAMP|大直出口匝道||0|25.0758591|121.5269056|25.0759521|121.5269069|yes|
TPE-24836058-2|TPE|EXPRESSWAY|RAMP|大直出口匝道||0|25.0759521|121.5269069|25.0760596|121.5269074|yes|
TPE-24836058-3|TPE|EXPRESSWAY|RAMP|大直出口匝道||0|25.0760596|121.5269074|25.0761705|121.5269222|yes|
TPE-24836058-4|TPE|EXPRESSWAY|RAMP|大直出口匝道||0|25.0761705|121.5269222|25.0762501|121.5269304|yes|
TPE-24836709-0|TPE|EXPRESSWAY|RAMP|師大路出口匝道||0|25.0204340|121.5218966|25.0203715|121.5223044|yes|40
TPE-24836732-0|TPE|EXPRESSWAY|ELEVATED|水源快速道路||1|24.9960908|121.5355359|24.9959802|121.5355382|yes|70
TPE-24836732-1|TPE|EXPRESSWAY|ELEVATED|水源快速道路||1|24.9959802|121.5355382|24.9956941|121.5355274|yes|70
TPE-24836732-2|TPE|EXPRESSWAY|ELEVATED|水源快速道路||1|24.9956941|121.5355274|24.9953951|121.5354484|yes|70
